;x;y;d;w;weight_density
382;1.0;4.0;19.0;1.0;0.42881153651646203
383;1.0;4.0;20.0;1.0;0.42881153651646203
384;1.0;4.0;21.0;1.0;0.42881153651646203
385;1.0;4.0;22.0;1.0;0.42881153651646203
386;1.0;4.0;23.0;1.0;0.42881153651646203
387;1.0;4.0;24.0;1.0;0.42881153651646203
388;1.0;4.0;25.0;1.0;0.42881153651646203
389;1.0;4.0;26.0;1.0;0.42881153651646203
390;1.0;4.0;27.0;1.0;0.42881153651646203
391;1.0;4.0;28.0;1.0;0.42881153651646203
392;1.0;4.0;29.0;1.0;0.42881153651646203
393;1.0;4.0;30.0;1.0;0.42881153651646203
394;1.0;4.0;31.0;1.0;0.42881153651646203
395;1.0;4.0;32.0;1.0;0.42881153651646203
396;1.0;4.0;33.0;1.0;0.42881153651646203
397;1.0;4.0;34.0;1.0;0.42881153651646203
398;1.0;5.0;0.0;1.0;0.40875527352997754
399;1.0;5.0;1.0;1.0;0.40875527352997754
400;1.0;5.0;2.0;1.0;0.40875527352997754
401;1.0;5.0;3.0;1.0;0.40875527352997754
402;1.0;5.0;4.0;1.0;0.40875527352997754
403;1.0;5.0;5.0;1.0;0.40875527352997754
404;1.0;5.0;6.0;1.0;0.40875527352997754
405;1.0;5.0;7.0;1.0;0.40875527352997754
406;1.0;5.0;8.0;1.0;0.40875527352997754
407;1.0;5.0;9.0;1.0;0.40875527352997754
408;1.0;5.0;10.0;1.0;0.40875527352997754
409;1.0;5.0;11.0;1.0;0.40875527352997754
410;1.0;5.0;12.0;1.0;0.40875527352997754
411;1.0;5.0;13.0;1.0;0.40875527352997754
412;1.0;5.0;14.0;1.0;0.40875527352997754
413;1.0;5.0;15.0;1.0;0.40875527352997754
414;1.0;5.0;16.0;1.0;0.40875527352997754
415;1.0;5.0;17.0;1.0;0.40875527352997754
416;1.0;5.0;18.0;1.0;0.40875527352997754
417;1.0;5.0;19.0;1.0;0.40875527352997754
418;1.0;5.0;20.0;1.0;0.40875527352997754
419;1.0;5.0;21.0;1.0;0.40875527352997754
420;1.0;5.0;22.0;1.0;0.40875527352997754
421;1.0;5.0;23.0;1.0;0.40875527352997754
422;1.0;5.0;24.0;1.0;0.40875527352997754
423;1.0;5.0;25.0;1.0;0.40875527352997754
424;1.0;5.0;26.0;1.0;0.40875527352997754
425;1.0;5.0;27.0;1.0;0.40875527352997754
